ASX code,Company name,Listing date,GICs industry group,Market Cap
ANZ,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,30/09/1969,Banks,74511573825
AO1,ASSETOWL LIMITED,30/05/2011,Software & Services,1572130
AOA,AUSMON RESOURCES LIMITED,31/03/2009,Materials,6479125
AOF,AUSTRALIAN UNITY OFFICE FUND,20/06/2016,Real Estate,256438162
AON,APOLLO MINERALS LIMITED,31/10/2007,Materials,23631346
AOU,AUROCH MINERALS LTD,01/09/2011,Materials,20411149
APA,APA GROUP,13/06/2000,Utilities,13250207913
APC,AUSTRALIAN POTASH LIMITED,20/12/2011,Materials,22158460
APE,EAGERS AUTOMOTIVE LIMITED,17/04/1957,Retailing,3121148600
APG,AUSTPAC RESOURCES NL,24/07/1986,Materials,N/A
APL,ASSOCIATE GLOBAL PARTNERS LIMITED,30/09/2004,Diversified Financials,21210591
APM,APM HUMAN SERVICES INTERNATIONAL LIMITED,12/11/2021,Commercial & Professional Services,2815748574
APS,ALLUP SILICA LIMITED,02/05/2022,Materials,7268003
APW,AIMS PROPERTY SECURITIES FUND,17/12/2004,Real Estate,57874808
APX,APPEN LIMITED,07/01/2015,Software & Services,343180870
APZ,ASPEN GROUP,11/04/1991,Real Estate,304878859
AQC,AUSTRALIAN PACIFIC COAL LIMITED,17/12/1999,Materials,79881519
AQD,AUSQUEST LIMITED,25/11/2003,Materials,12377238
AQI,ALICANTO MINERALS LIMITED,19/09/2012,Materials,25793390
AQN,AQUIRIAN LIMITED,27/07/2021,Commercial & Professional Services,29600000
AQS,AQUIS ENTERTAINMENT LIMITED,02/12/2011,Consumer Services,24068337
AQX,ALICE QUEEN LIMITED,09/09/2004,Materials,4400500
AQZ,ALLIANCE AVIATION SERVICES LIMITED,20/12/2011,Transportation,485418785
AR1,AUSTRAL RESOURCES AUSTRALIA LTD,03/11/2021,Materials,79091118
AR3,AUSTRALIAN RARE EARTHS LIMITED,01/07/2021,Materials,43381904
AR9,ARCHTIS LIMITED,21/09/2018,Software & Services,33027901
