,company name,fca website,website
101,DWS Invest,https://www.fca.org.uk/news/warnings/dws-invest,['https://dwsinvest.company/']
102,DAV Invest,https://www.fca.org.uk/news/warnings/dav-invest,['https://davinvest.pro/']
103,basetradeglobalinvestment.net,https://www.fca.org.uk/news/warnings/basetradeglobalinvestmentnet,['https://basetradeglobalinvestment.net/']
104,Assets Deluxe Trading,https://www.fca.org.uk/news/warnings/assets-deluxe-trading,['https://assetsdeluxetrading.com/']
105,EARNERS CIRCLE INVESTMENT,https://www.fca.org.uk/news/warnings/earners-circle-investment,['www.earners-circleinvestment.info']
106,Sterling Investments Limited,https://www.fca.org.uk/news/warnings/sterling-investments-limited,['https://sterling-investment.ltd']
107,AtomtradeFX,https://www.fca.org.uk/news/warnings/atomtradefx,['https://atomtrade-fx.online/']
108,capital-assets.world,https://www.fca.org.uk/news/warnings/capital-assetsworld,['https://capital-assets.world/']
109,FOREX E-COMMERCIAL MARKET/FXECM,https://www.fca.org.uk/news/warnings/forex-e-commercial-market-fxecm,['www.fxecm.com']
110,MortalFx,https://www.fca.org.uk/news/warnings/mortalfx,['www.mortalfx.com']
111,CASHFXEXPERTS,https://www.fca.org.uk/news/warnings/cashfxexperts,['https://cashfxexperts.online/']
112,blochainfxpayment.com,https://www.fca.org.uk/news/warnings/blochainfxpaymentcom,['www.blochainfxpayment.com']
113,Forex Treasures,https://www.fca.org.uk/news/warnings/forex-treasures,['www.forextreasures.com']
114,Crystal-Market.Ltd,https://www.fca.org.uk/news/warnings/crystal-marketltd,['https://crystal-market.ltd/']
115,RevolutionInvest.ltd,https://www.fca.org.uk/news/warnings/revolutioninvestltd,['https://revolutioninvest.ltd/']
116,safekeeping investments,https://www.fca.org.uk/news/warnings/safekeeping-investments,['https://safekeepinginvestments.com/']
117,PRIME CHAIN MARKETS,https://www.fca.org.uk/news/warnings/prime-chain-markets,['www.primechainmarkets.com']
118,platinumcapitalinvestment.co.uk,https://www.fca.org.uk/news/warnings/platinumcapitalinvestmentcouk,['www.platinumcapitalinvestment.co.uk/index.html']
119,FX STOCK INTERSWITCH,https://www.fca.org.uk/news/warnings/fx-stock-interswitch,['https://fxstockinterswitch.org/']
